id_ponto_externo,nome_local,tipo,endereco,bairro,subprefeitura,regiao,latitude,longitude,status,horario_funcionamento,descricao,link
EXT-0001,Unidade de Serviços - Jardim Silviania,CABO,"Rua Irani, 19",Jardim Silviania,Carapicuíba,Carapicuíba,-23.5222047,-46.8437996,MANUTENCAO,STR 09:00-21:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0002,UBS Municipal - Jardim Ana Estela,WIFI,"Rua Minas Gerais, 749",Jardim Ana Estela,Carapicuíba,Carapicuíba,-23.551081,-46.792065,ATIVO,INT 08:00-18:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_002. Usuário: publico. Senha: Carap2562. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.youtube.com/
EXT-0003,Centro de Convivência - Vila Municipal,WIFI,"Rua das Acácias, 812",Vila Municipal,Carapicuíba,Carapicuíba,-23.508932,-46.861494,ATIVO,STR 08:00-17:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_003. Usuário: publico. Senha: Carap9935. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0004,Unidade Administrativa - Vila Municipal,WIFI,"Avenida Brasil, 706",Vila Municipal,Carapicuíba,Carapicuíba,-23.475388,-46.779638,INATIVO,INT 08:00-18:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_004. Usuário: publico. Senha: Carap9916. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.carapicuiba.sp.gov.br/
EXT-0005,Casa da Cultura - Jardim Ana Estela,CABO,"Avenida Inocêncio Seráfico, 276",Jardim Ana Estela,Carapicuíba,Carapicuíba,-23.462411,-46.802522,MANUTENCAO,INT 24h,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0006,Espaço Jovem - Jardim Santo Estevão,CABO,"Rua São Paulo, 729",Jardim Santo Estevão,Carapicuíba,Carapicuíba,-23.543413,-46.768401,INATIVO,STR 09:00-21:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0007,Centro Cultural - Vila Cristina,CABO,"Rua das Flores, 45",Vila Cristina,Carapicuíba,Carapicuíba,-23.547049,-46.84777,ATIVO,INT 07:00-23:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0008,Feira Municipal - Parque Gabriel,CABO,"Rua do Bosque, 281",Parque Gabriel,Carapicuíba,Carapicuíba,-23.564989,-46.840208,ATIVO,STR 09:00-21:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0009,Casa da Cultura - Jardim Ariston,WIFI,"Rua São Paulo, 763",Jardim Ariston,Carapicuíba,Carapicuíba,-23.481624,-46.845367,ATIVO,STR 09:00-21:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_009. Usuário: publico. Senha: Carap9540. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0010,Centro Esportivo - Vila Municipal,WIFI,"Avenida Inocêncio Seráfico, 599",Vila Municipal,Carapicuíba,Carapicuíba,-23.462756,-46.898748,MANUTENCAO,INT 24h,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_010. Usuário: publico. Senha: Carap5691. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0011,CRAS Municipal - Vila Cristina,WIFI,"Avenida Inocêncio Seráfico, 572",Vila Cristina,Carapicuíba,Carapicuíba,-23.497854,-46.830177,ATIVO,STR 07:00-19:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_011. Usuário: publico. Senha: Carap7012. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.youtube.com/
EXT-0012,Parque Municipal - Vila Municipal,WIFI,"Rua Bahia, 633",Vila Municipal,Carapicuíba,Carapicuíba,-23.543657,-46.862472,ATIVO,STR 08:00-20:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_012. Usuário: publico. Senha: Carap2354. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0013,Feira Municipal - Jardim Ariston,CABO,"Rua Antônio Roberto, 93",Jardim Ariston,Carapicuíba,Carapicuíba,-23.57875,-46.764494,INATIVO,STR 07:00-19:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0014,Biblioteca Municipal - Vila Municipal,CABO,"Rua José Michel, 958",Vila Municipal,Carapicuíba,Carapicuíba,-23.478315,-46.86245,INATIVO,INT 08:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0015,Praça da Cidadania - Jardim São Daniel,CABO,"Avenida Marginal do Ribeirão, 203",Jardim São Daniel,Carapicuíba,Carapicuíba,-23.577101,-46.764246,INATIVO,INT 06:00-22:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.carapicuiba.sp.gov.br/
EXT-0016,Centro Cultural - Jardim Maria Helena,CABO,"Avenida Brasil, 844",Jardim Maria Helena,Carapicuíba,Carapicuíba,-23.565021,-46.9045,ATIVO,INT 08:00-18:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0017,Feira Municipal - Jardim Ana Estela,CABO,"Avenida Marginal do Ribeirão, 247",Jardim Ana Estela,Carapicuíba,Carapicuíba,-23.453426,-46.766165,ATIVO,INT 06:00-22:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.carapicuiba.sp.gov.br/
EXT-0018,Ginásio Municipal - Centro,CABO,"Rua Rio Grande do Sul, 295",Centro,Carapicuíba,Carapicuíba,-23.456547,-46.874597,MANUTENCAO,INT 06:00-22:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0019,Feira Municipal - Jardim Ana Estela,WIFI,"Avenida Rui Barbosa, 101",Jardim Ana Estela,Carapicuíba,Carapicuíba,-23.550539,-46.851972,ATIVO,STR 08:00-20:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_019. Usuário: publico. Senha: Carap7465. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.carapicuiba.sp.gov.br/
EXT-0020,Centro de Convivência - Jardim São Daniel,CABO,"Rua Rio Grande do Sul, 253",Jardim São Daniel,Carapicuíba,Carapicuíba,-23.477482,-46.819453,INATIVO,INT 06:00-22:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.youtube.com/
EXT-0021,Praça da Cidadania - Jardim Maria Helena,CABO,"Rua das Palmeiras, 708",Jardim Maria Helena,Carapicuíba,Carapicuíba,-23.574693,-46.872853,ATIVO,STR 08:00-20:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.gov.br/
EXT-0022,Parque Municipal - Jardim Maria Helena,WIFI,"Rua Dona Primitiva Vianco, 412",Jardim Maria Helena,Carapicuíba,Carapicuíba,-23.460812,-46.794212,ATIVO,STR 09:00-21:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_022. Usuário: publico. Senha: Carap6542. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",https://www.google.com/
EXT-0023,UBS Municipal - Jardim Maria Helena,WIFI,"Avenida Rui Barbosa, 972",Jardim Maria Helena,Carapicuíba,Carapicuíba,-23.440695,-46.841006,ATIVO,STR 06:00-18:00,"Acesso Wi-Fi público. SSID: Carapicuiba_Publica_023. Usuário: publico. Senha: Carap9351. Conecte-se à rede, abra o navegador e aceite os termos de uso para iniciar a sessão.",
EXT-0024,Unidade de Serviços - Jardim Santo Estevão,CABO,"Rua São Paulo, 989",Jardim Santo Estevão,Carapicuíba,Carapicuíba,-23.549773,-46.778084,ATIVO,INT 07:00-23:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",
EXT-0025,Centro Comunitário - Vila Municipal,CABO,"Rua das Flores, 432",Vila Municipal,Carapicuíba,Carapicuíba,-23.440085,-46.775565,MANUTENCAO,STR 09:00-21:00,"Ponto de acesso por cabo. Conecte o equipamento à porta de rede identificada, aguarde a obtenção automática do endereço IP e abra o navegador para autenticação, se solicitada.",https://www.gov.br/
